author,normalized_content,normalized_title
Carlos Edmundo de Ory,si canto cantueso si leo león si emano mano si amo amasijo si lucho serrucho si si río río risa si duermo enfermo dormir si fumo fumo humo si hablo escucha diablo si miento invento verdad si hundo carlos edmundo,fonemoramas
Justo Braga,recuerdas playa poniente distante ojos contemplabas músculos atroces aquel negro esperabas expectante caída tarde absorta mirabas olas playa poniente negro distancia contemplaba bañistas sirenas varadas arena negra occidente gaviotas todas partes acecho vigilantes dominan ojos horizonte pupilas enormes garras imponentes negro playa poniente pone negras manos pecho dulce ninfa punto ahogarse estremecen gaviotas aire ven cómo negro arrebata presa chillan desespera resto bañistas quieren ahogarse playa poniente,horizonte
Dámaso Alonso,diste ardiente simetría labios brasa hondura dos enormes cauces negrura simas infinitud luz día bultos nieve bullía soliviar lino tersura prodigios exacta arquitectura dos columnas cantan armonía ay señor diste ladera álabe dulce derrama miel secreta humo entredorado poderosa mano espera mortal belleza eternidad reclama dale eternidad negado,oración belleza muchacha
Gonzalo Rojas,dragón animal quimérico dragón amo decir amo nariz sorpresa zafiro ojos amo zafiro ojos evidencia muslifica muslos longilíneos cuyo formato vuela sexo cisne vez aclarándome perverso puede ser rosa si rosa palpación seda olfato olfato seda traslación dado inabarcable pintura entiéndase veloz tersura gloriosa gozosa mariposa así pasen años sonaba bajo humo célebre piano marfil película humphrey bogart aquella alta copa nórdica cuya esbeltez trizadura vestido blanco décadas piel repente hombre décadas piel urna frenesí perdición aorta vivir tristeza repente mismo tristeza entonces hablo rodillas encomiendo vellocino así durable amaranto ahondo amapola liturgia desenfreno entonces ahondo amapola entro epifanía inmediatez ventilada lozanía tacto ojo apresúrate escribo fósforo si veo simultáneamente nuca pie equa alquimia,instantánea
Julio Flórez Roa,cantaba ruiseñor serenata nocturno piélago hundía detrás imponente serranía luna góndola plata cantaba ruiseñor melodía mente recuerdo ingrata mujer llanto dolor desata rayo sol resplandecía cantaba ruiseñor bajo umbría así niebla delata dilataba melancolía mujer ingrata llanto dolor deshacía cantaba ruiseñor serenata,soneto rondel
Vicente Aleixandre,negros sombra caudales lentitud impaciente esfuerza armar luna sombra puentes plata levadizos bizarro frente puertos despegado cruzar día ahora rayos desgarran sombra espesa reciente paisaje muestra abierto mudo evidente húmedos pinceles tocan superficies mueven ágiles brillantes tensos brotan flor relieves extendido paisaje mantel breve flores frutos noche dulce peso sostiene noche madura toda gravita nieve hilada zumos densos dará mano caliente pompa rompe cárcel exacta pulpa ardiente constelada pepitas iluminadas vierte rojos labios sorben hundo yema dientes toda boca llena amor fuegos presentes ebrio luces noche brillos cuerpo extiende miembros pisando estrellas temblor pisando celeste noche noche ojos ardiendo tenue lengua naciendo sabor alba creciente,posesión
Pablo Neruda,llega invierno espléndido dictado dan lentas hojas vestidas silencio amarillo libro nieve espaciosa mano pradera círculo espera pertenezco tierra invierno creció rumor mundo follaje ardió después trigo constelado flores rojas quemaduras luego llegó otoño establecer escritura vino pasó cielo pasajero copa estío apagó nube navegante esperé balcón tan enlutado ayer yedras infancia tierra extendiera alas amor deshabitado supe rosa caería hueso durazno transitorio volvería dormir germinar embriagué copa aire mar hizo nocturno arrebol convirtió ceniza tierra vive ahora tranquilizando interrogatorio extendida piel silencio vuelvo ser ahora taciturno llegó lejos envuelto lluvia fría campanas debo muerte pura tierra voluntad germinaciones,jardín invierno
Antonio Machado,venta cidones carretera va soria burgos leonarda ventera llaman ruipérez viejecita aviva fuego borbolla marmita ruipérez ventero viejo diminuto bajo cejas grises dos ojos hombre astuto contempla silencioso lumbre hogar oye marmita fuego borbollar sentado mesa pino caballero escribe moja pluma tintero dos ojos tristes lucen semblante enjuto caballero joven vestido va luto viento frío azota chopos camino ve pasar polvo blanco remolino tarde va haciendo sombría enlutado mano mejilla medita ensimismado correo llegue caballero aguarda tarde caído tierra parda soria todavía grises serrijones ruina encinares mellas aluviones lomas azuladas agrias barranqueras picotas colinas ribazos laderas páramo sombrío cruza duero darán sol ocaso resplandor acero venta oscurece rojo lar humea mecha mohoso candil arde chispea enlutado clavado fuego ojos largo rato enjuga luego pañuelo blanco hará llorar marmita ascua hogar cerró noche lejos escucha traqueteo galopar coche avanza correo,maestro azorín libro castilla
Juan Ramón Jiménez,todas frutas cuerpo flores todas alma venía venía hojas verdes rojas cobres caminos cuyo fin árboles desnudos pasados fin verdor salido casa llena natural venía venía venía sólo acabar perseguir toda luz iluminar toda vida forma verdadera suficiente elemental apretado redondez esbelta elejida agua fuego tierra aire cinta ideal suma gracia combinación metamórfosis espejo iris májico viese dentro dentro delicada fuerte realidad imajen completa mensajera estación total hacía vista mensajera gloria ver verse mismo mismo mismo misma gloria proviene gloria veía volver sola solo salir toda mensajera existías sabía,mensajera estación total
Federico García Lorca,verde quiero verde verde viento verdes ramas barco mar caballo montaña sombra cintura sueña baranda verde carne pelo verde ojos fría plata verde quiero verde bajo luna gitana cosas mirando puede mirarlas verde quiero verde grandes estrellas escarcha vienen pez sombra abre camino alba higuera frota viento lija ramas monte gato garduño eriza pitas agrias quién vendrá dónde sigue baranda verde carne pelo verde soñando mar amarga compadre quiero cambiar caballo casa montura espejo cuchillo manta compadre vengo sangrando montes cabra si pudiera mocito trato cerraba casa casa compadre quiero morir decentemente cama acero si puede ser sábanas holanda ves herida pecho garganta trescientas rosas morenas lleva pechera blanca sangre rezuma huele alrededor faja casa casa dejadme subir menos altas barandas dejadme subir dejadme verdes barandas barandales luna retumba agua suben dos compadres hacia altas barandas dejando rastro sangre dejando rastro lágrimas temblaban tejados farolillos hojalata mil panderos cristal herían madrugada verde quiero verde verde viento verdes ramas dos compadres subieron largo viento dejaba boca raro gusto hiel menta albahaca compadre dónde dime dónde niña amarga cuántas veces esperó cuántas veces esperara cara fresca negro pelo verde baranda rostro aljibe mecía gitana verde carne pelo verde ojos fría plata carámbano luna sostiene agua noche puso íntima pequeña plaza guardias civiles borrachos puerta golpeaban verde quiero verde verde viento verdes ramas barco mar caballo montaña,romance sonámbulo
Byron Espinoza,amaestré criaturas suelo levantaban ojos permití inventaras nuevas formas usar cuerpo puse frente padre hijo espíritu santo aun así necesitaba poema,amaestré criaturas
Pablo Neruda,piden dé saltos tonifique futbole corra nade vuele bien aconsejan reposo destinan doctores mirándome cierta manera pasa aconsejan viaje salga viaje muera muera importa ven dificultades vísceras sorprendidas radioterribles retratos acuerdo pican poesía invencibles tenedores buscando duda mosca miedo miedo mundo agua fría muerte mortales inaplazable cortos días voy tomarlos cuenta voy abrirme voy encerrarme pérfido enemigo pablo neruda,miedo
Marilina Rébora,madre clama voz queda ferviente mensaje madre madre acude necesito voz primero tierna va haciéndose salvaje si comenzar ruego termina siendo grito ansias amor lenguaje salvando alturas pos infinito desesperante alcanza tras impetuoso viaje acento mandato aquel ser bendito sólo momento voz pierde eco sonido expande angustia ausencia recuerdo pronto mamá muñeco repito repetía siento muñeco trágica presencia nadie responde dulce madre,muñeco
Luis Cernuda,instante tan claro perdidamente alejas dejando erguido deseo vagas ansias tercas siento huir bajo otoño pálidas aguas fuerza mientras olvidan árboles hojas desertan llama tuerce hastío sola viva presencia lámpara duerme ojos vela cuán lejano muertas rosas ayer abrieran aunque aliente secreto verdes alamedas bajo tormentas playa soledad arena amor yazca sueños tierra mar esperan,instante tan claro
Antonio Machado,anoche dormía soñé bendita ilusión fontana fluía dentro corazón dí acequia escondida agua vienes manantial nueva vida nunca bebí anoche dormía soñé bendita ilusión colmena dentro corazón doradas abejas iban fabricando amarguras viejas blanca cera dulce miel anoche dormía soñé bendita ilusión ardiente sol lucía dentro corazón ardiente daba calores rojo hogar sol alumbraba hacía llorar anoche dormía soñé bendita ilusión dios dentro corazón,anoche dormía
Octavio Paz,torre muros ámbar solitario laurel plaza piedra golfo imprevisto sonrisa oscuro pasillo andar río fluye palacios dulce cometa ciega aleja puente bajo cuyos arcos corre siempre vida,salvas
Ana Istarú,hambre alquimia pertinaz transmutación violenta costilla tener hombre vivo dedos tirárselo muerte hambre muerte hace olvidada demora finge buscar cita libreta final toca brea inarrancable deja cicatriz sustrae pequeño casa convida baile helado hambre ocurre escribo costa rica setiembre ochenta cinco resulta muerte aquí católica apostólica sueño moramos resiste grillete así nadie comenta hambre queda rasgo mal gusto paz aquí paz nutre sangre,hambre ocurre
Lope de Vega,dulce filis si esperas favor ir mudando burlando veras si fías amores pon llamas sosiego si burlas fuego atices favores bien encenderme quieras favor burlando veras infierno ardiendo pena semejante manjar delante hambre muriendo esperar desesperas pues favor vas dando burlando veras si mandas das si dar dalo junto si junto dalo punto si mandes bien engañarme quieras favor burlando veras,dulce filis si esperas
Lope de Vega,hombre mortal padres engendraron aire común luz cielos dieron primera voz lágrimas así reyes mundo entraron tierra miseria abrazaron paños piel pluma envolvieron huésped vida escribieron horas pasos contaron así voy prosiguiendo jornada inmortalidad alma asida cuerpo pretende principio fin vida igual entrada conforme entrada salida,hombre mortal
Mario Benedetti,si dios mujer pregunta juan inmutarse vaya vaya si dios mujer posible agnósticos ateos dijéramos cabeza dijéramos entrañas tal vez acercáramos divina desnudez besar pies bronce pubis piedra pechos mármol labios yeso si dios mujer abrazaríamos arrancarla lontananza jurar muerte separe inmortal antonomasia vez transmitirnos sida pánico contagiaría inmortalidad si dios mujer instalaría lejana reino cielos sino aguardaría zaguán infierno brazos cerrados rosa plástico amor ángeles ay dios dios si siempre siempre mujer lindo escándalo venturosa espléndida imposible prodigiosa blasfemia,si dios mujer
